id,bookId,pageNumber,branchPath,isBranchPage,content,imageUrl,panels,choiceA,choiceB,nextPageIdA,nextPageIdB,sfxTags,format,createdAt
390045,390004,1,root,0,"Münih'teki laboratuvarın soğuk ışıkları altında, Tolgar son deney tüpünü dikkatle inceledi. İnsan hücrelerinin kendini onarma kapasitesini artırma projesi, hayatının adeta bir parçası haline gelmişti. Gece yarısını çoktan geçmiş, yorgunluk hissi tüm vücudunu sarmıştı, ancak keşfetme arzusu onu ayakta tutuyordu. Bu serum, insanlığın geleceğini değiştirebilirdi.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page1-top-1773116652600.png"", ""narration"": ""Münih'teki laboratuvarın soğuk ışıkları altında Tolgar, son deney tüpünü dikkatle inceliyor."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page1-bottom-left-1773116657912.png"", ""narration"": ""İnsan hücrelerinin kendini onarma projesi, Tolgar'ın hayatının bir parçası olmuştu."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page1-bottom-right-1773116662721.png"", ""narration"": ""Gece yarısını geçmiş olmasına rağmen, keşfetme arzusu onu ayakta tutuyor; bu serum insanlığın geleceğini değiştirebilirdi."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""lab hum"", ""beeping""]",landscape,2026-03-10 04:26:34
390046,390004,2,root,1,"Ancak bir anlık dikkatsizlik, her şeyi değiştirdi. Titreyen elinden kayan tüp, yere düşerek paramparça oldu. İçindeki deneysel serum, Tolgar'ın koruyucu giysisindeki küçük bir yırtıktan cildine temas etti. Keskin bir acı hissiyle irkildi, ardından vücudunda garip bir karıncalanma başladı. Ne yapmalıydı?",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page2-top-1773116658799.png"", ""narration"": ""Tolgar'ın elinden kayan tüp yere düşerek paramparça oluyor."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page2-bottom-left-1773116662935.png"", ""narration"": ""Deneysel serum, Tolgar'ın giysisindeki yırtıktan cildine temas ediyor."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": ""Ne yapmalıydı?"", ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page2-bottom-right-1773116663228.png"", ""narration"": ""Tolgar keskin bir acı ve garip bir karıncalanma hissediyor."", ""position"": ""top-right"", ""speaker"": ""Tolgar""}]",Hemen tıbbi yardım almak için güvenlik protokollerini devreye sokmak.,"Kimseye haber vermeden, etkileri kendi başına gözlemlemek.",390047,390048,"[""glass shatter"", ""buzzing""]",landscape,2026-03-10 04:26:35
390047,390004,3,A,0,"Güvenlik protokollerini devreye sokarak, acil durum sirenlerini çaldırdı. Kısa süre sonra laboratuvar ekibi olay yerine ulaştı ve Tolgar'ı karantina altına aldı. Serumun etkileri hızla yayılırken, vücudunda gözle görülür değişimler başladı. Güçlü bir şirketin bu teknolojiyi ele geçirmek istediğini bilen Tolgar, durumun ciddiyetini anlamıştı.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page3-top-1773116652721.png"", ""narration"": ""Tolgar, güvenlik protokollerini devreye sokarak acil durum sirenlerini çaldırdı."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page3-bottom-left-1773116662811.png"", ""narration"": ""Laboratuvar ekibi Tolgar'ı karantina altına aldı, serumun etkileri vücudunda hızla yayılıyordu."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page3-bottom-right-1773116663128.png"", ""narration"": ""Tolgar, güçlü bir şirketin bu teknolojiyi ele geçirmek istediğini bilerek durumun ciddiyetini anladı."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""siren"", ""alarm""]",landscape,2026-03-10 04:26:35
390048,390004,4,B,0,"Kimseye haber vermeden, serumun etkilerini kendi başına gözlemlemeye karar verdi. İlk başta hafif bir baş dönmesi ve mide bulantısı hissetti, ancak kısa süre sonra bu belirtiler yerini olağanüstü bir canlılığa bıraktı. Duyuları keskinleşmiş, en ufak sesleri bile duymaya başlamıştı. Vücudundaki değişimler onu hem korkutuyor hem de meraklandırıyordu.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page4-top-1773116638217.png"", ""narration"": ""Tolgar, kimseye haber vermeden serumun etkilerini kendi başına gözlemlemeye karar verir."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page4-bottom-left-1773116647044.png"", ""narration"": ""Başlangıçta hafif baş dönmesi ve mide bulantısı hissederken, kısa süre sonra olağanüstü bir canlılık ve keskinleşen duyular deneyimler."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page4-bottom-right-1773116652055.png"", ""narration"": ""Vücudundaki bu değişimler Tolgar'ı hem korkutur hem de derinden meraklandırır."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""heartbeat"", ""whispers""]",landscape,2026-03-10 04:26:36
390049,390004,5,A,1,"Karantina sürecinde, Tolgar'ın vücudu inanılmaz bir hızla iyileşmeye başladı. Doktorlar şaşkınlık içindeydi; yaraları saniyeler içinde kapanıyor, kasları güçleniyordu. Ancak bu değişimler kontrol dışıydı ve her an daha da ileri gidiyordu. Laboratuvarın gizli bir insan geliştirme projesi yürüttüğünü öğrenince, artık sadece bir denek değil, aynı zamanda bir hedef olduğunu anladı. Ne yapmalıydı?",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page5-top-1773116652723.png"", ""narration"": ""Karantina sırasında Tolgar'ın vücudu inanılmaz bir hızla iyileşmeye başlıyor, doktorları şaşırtıyor."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page5-bottom-left-1773116662804.png"", ""narration"": ""İyileşme kontrol dışına çıkıyor ve kasları her an daha da güçleniyor."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": ""Ne yapmalıydı?"", ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page5-bottom-right-1773116663203.png"", ""narration"": ""Tolgar, laboratuvarın gizli projesini öğrenince denek ve hedef olduğunu anlıyor, ne yapacağını düşünüyor."", ""position"": ""top-right"", ""speaker"": ""Tolgar""}]",Güçlerini saklayarak normal hayatına dönmeye çalışmak.,Bu yeni güçleri kullanarak laboratuvardan kaçmak ve gerçekleri ortaya çıkarmak.,390050,390051,"[""medical beeps"", ""murmurs""]",landscape,2026-03-10 04:26:38
390050,390004,6,A-A,1,"Normal hayatına dönmeye çalışmak için güçlerini saklamaya karar verdi. Karantinadan çıktıktan sonra, laboratuvardaki görevine geri döndü, ancak her an tetikteydi. Duyuları o kadar keskinleşmişti ki, çevresindeki fısıltıları, hatta uzaktaki konuşmaları bile duyabiliyordu. Bu durum, onu paranoyak bir hale getiriyordu. Bir gün, bir meslektaşının telefon konuşmasına kulak misafiri oldu.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page6-top-1773116678619.png"", ""narration"": ""Tolgar, güçlerini gizleyerek normal hayatına dönmeye çalışıyor."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page6-bottom-left-1773116683832.png"", ""narration"": ""Laboratuvardaki görevine dönen Tolgar'ın duyuları keskinleşmiş durumda."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page6-bottom-right-1773116684799.png"", ""narration"": ""Paranoyak Tolgar, bir meslektaşının telefon konuşmasına kulak misafiri oluyor."", ""position"": ""top-right"", ""speaker"": null}]",Konuşmayı görmezden gelip normal davranmaya devam etmek.,Meslektaşını takip ederek ne konuştuğunu öğrenmek.,390052,390053,"[""office chatter"", ""phone ringing""]",landscape,2026-03-10 04:26:38
390051,390004,7,A-B,1,"Yeni güçlerini kullanarak laboratuvardan kaçmaya karar verdi. Gecenin bir yarısı, keskinleşen duyuları ve artan gücü sayesinde güvenlik kameralarını atlattı, kilitli kapıları zorlanmadan açtı. Amacı, bu gizli projenin ardındaki gerçeği ortaya çıkarmaktı. Ancak kaçışı fark edildi ve peşine düşenler oldu. Nereye gitmeliydi?",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page7-top-1773116695206.png"", ""narration"": ""Tolgar, yeni güçlerini kullanarak laboratuvardan kaçmaya karar verir, keskinleşen duyularıyla güvenlik sistemlerini aşar."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page7-bottom-left-1773116702716.png"", ""narration"": ""Gecenin bir yarısı, Tolgar kilitli kapıları zorlanmadan açar, gizli projenin ardındaki gerçeği ortaya çıkarmayı hedefler."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": ""Nereye gitmeliydim?"", ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page7-bottom-right-1773116705910.png"", ""narration"": ""Ancak kaçışı fark edilir ve peşine düşenlerden kaçarken Tolgar nereye gideceğini düşünür."", ""position"": ""top-right"", ""speaker"": ""Tolgar""}]",Şehrin kalabalık sokaklarında izini kaybettirmeye çalışmak.,Güvendiği eski bir profesörün evine sığınmak.,390054,390055,"[""footsteps"", ""alarms""]",landscape,2026-03-10 04:26:38
390052,390004,8,A-A-A,0,"Konuşmayı görmezden gelip normal davranmaya devam etti. Ancak bu, onun sonunu getirdi. Güçlü şirketin ajanları, Tolgar'ın hala bir tehdit olduğunu düşünerek onu sessizce ortadan kaldırdı. Güçleri, kontrol altına alınmadan ya da kullanılamadan bir sır olarak kaldı. Tolgar'ın hikayesi, Münih'in karanlık laboratuvarlarında kaybolan bir fısıltıdan ibaret oldu.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page8-top-1773116690924.png"", ""narration"": ""Tolgar, konuşmayı görmezden gelip normal davranmaya devam etti."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page8-bottom-left-1773116696700.png"", ""narration"": ""Ancak bu, onun sonunu getirdi. Güçlü şirketin ajanları, Tolgar'ı sessizce ortadan kaldırdı."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page8-bottom-right-1773116702614.png"", ""narration"": ""Güçleri bir sır olarak kaldı. Tolgar'ın hikayesi Münih'in karanlık laboratuvarlarında kayboldu."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""silence"", ""distant siren""]",landscape,2026-03-10 04:26:38
390053,390004,9,A-A-B,0,"Meslektaşını takip ederek ne konuştuğunu öğrenmeye karar verdi. Meslektaşı, Tolgar'ın güçlerini ve laboratuvarın gizli projelerini bir rakip şirkete satmaya çalışıyordu. Tolgar, öfkeyle meslektaşıyla yüzleşti. Ancak bu yüzleşme, her iki taraf için de felaketle sonuçlandı. Rakiplerin de olaya dahil olmasıyla çıkan çatışmada, Tolgar güçlerini kontrol edemedi ve hem kendisi hem de meslektaşı trajik bir şekilde hayatını kaybetti.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page9-top-1773116694800.png"", ""narration"": ""Tolgar, meslektaşının gizlice bir rakip şirkete bilgi sattığını keşfeder."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page9-bottom-left-1773116696721.png"", ""narration"": ""Öfkeyle yüzleşen Tolgar, meslektaşıyla şiddetli bir çatışmaya girer."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page9-bottom-right-1773116702620.png"", ""narration"": ""Kontrol dışı güçleri ve rakiplerin müdahalesiyle, Tolgar ve meslektaşı trajik bir sonla karşılaşır."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""tense music"", ""struggle""]",landscape,2026-03-10 04:26:38
390054,390004,10,A-B-A,0,"Şehrin kalabalık sokaklarında izini kaybettirmeye çalıştı. Yeni güçleri sayesinde kalabalığın içinde hızla hareket edebiliyor, dar geçitlerden kolayca sıyrılabiliyordu. Ancak onu kovalayanlar da oldukça yetenekliydi. Uzun bir kovalamacanın ardından, Tolgar kendini bir çıkmazda buldu. Güçlerini son bir çabayla kullanarak kaçmaya çalıştı, ancak mutasyonun kontrolsüzlüğü onu ele geçirdi. Bir canavara dönüşerek, hem kendini hem de çevresindekileri tehlikeye attı, sonunda güvenlik güçleri tarafından durduruldu. Bir kahraman olmak yerine, trajik bir figür olarak anıldı.",,"[{""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page10-top-1773116702618.png"", ""narration"": ""Tolgar, yeni güçleriyle kalabalık sokaklarda izini kaybetmeye çalışıyor."", ""position"": ""top-right"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page10-bottom-left-1773116705915.png"", ""narration"": ""Uzun bir kovalamacanın ardından, Tolgar kendini bir çıkmazda buldu ve güçleri kontrolden çıktı."", ""position"": ""top-left"", ""speaker"": null}, {""bubbleType"": ""speech"", ""dialogue"": null, ""imageUrl"": ""https://d2xsxph8kpxj0f.cloudfront.net/310519663399842622/cuoraNs8SGWCiJUcwSXm4W/panels/390004-page10-bottom-right-1773116706139.png"", ""narration"": ""Bir canavara dönüşen Tolgar, güvenlik güçleri tarafından durdurularak trajik bir figür oldu."", ""position"": ""top-right"", ""speaker"": null}]",,,,,"[""chase"", ""explosion""]",landscape,2026-03-10 04:26:38
